date,aluminum_usd_mt
2000-01-01,1680.28
2000-02-01,1670.27
2000-03-01,1577.05
2000-04-01,1457.14
2000-05-01,1466.79
2000-06-01,1506.31
2000-07-01,1563.5
2000-08-01,1527.63
2000-09-01,1601.21
2000-10-01,1500.24
2000-11-01,1473.86
2000-12-01,1565.41
2001-01-01,1615.65
2001-02-01,1604.36
2001-03-01,1509.17
2001-04-01,1496.91
2001-05-01,1538.77
2001-06-01,1466.13
2001-07-01,1416.39
2001-08-01,1377.08
2001-09-01,1344.56
2001-10-01,1282.5
2001-11-01,1327.46
2001-12-01,1344.63
2002-01-01,1368.59
2002-02-01,1369.34
2002-03-01,1405.0
2002-04-01,1369.99
2002-05-01,1343.3
2002-06-01,1353.97
2002-07-01,1338.09
2002-08-01,1291.6
2002-09-01,1301.25
2002-10-01,1310.58
2002-11-01,1372.2
2002-12-01,1375.07
2003-01-01,1378.284
2003-02-01,1422.16
2003-03-01,1389.274
2003-04-01,1332.013
2003-05-01,1398.488
2003-06-01,1409.845
2003-07-01,1436.087
2003-08-01,1456.313
2003-09-01,1415.568
2003-10-01,1474.25
2003-11-01,1508.338
2003-12-01,1554.905
2004-01-01,1606.488
2004-02-01,1685.625
2004-03-01,1655.989
2004-04-01,1729.738
2004-05-01,1623.224
2004-06-01,1677.716
2004-07-01,1709.273
2004-08-01,1692.19
2004-09-01,1723.602
2004-10-01,1819.57
2004-11-01,1813.898
2004-12-01,1849.179
2005-01-01,1834.425
2005-02-01,1882.85
2005-03-01,1979.85
2005-04-01,1894.286
2005-05-01,1743.7
2005-06-01,1731.295
2005-07-01,1778.786
2005-08-01,1867.841
2005-09-01,1839.909
2005-10-01,1928.714
2005-11-01,2050.591
2005-12-01,2247.45
2006-01-01,2377.857
2006-02-01,2455.325
2006-03-01,2429.13
2006-04-01,2621.111
2006-05-01,2861.476
2006-06-01,2477.341
2006-07-01,2512.714
2006-08-01,2459.932
2006-09-01,2472.881
2006-10-01,2654.591
2006-11-01,2702.795
2006-12-01,2813.632
2007-01-01,2809.341
2007-02-01,2832.2
2007-03-01,2761.727
2007-04-01,2814.789
2007-05-01,2792.75
2007-06-01,2676.93
2007-07-01,2732.44
2007-08-01,2515.773
2007-09-01,2391.25
2007-10-01,2442.37
2007-11-01,2506.886
2007-12-01,2381.694
2008-01-01,2445.523
2008-02-01,2776.929
2008-03-01,3005.289
2008-04-01,2959.273
2008-05-01,2902.9
2008-06-01,2957.857
2008-07-01,3071.239
2008-08-01,2764.375
2008-09-01,2525.818
2008-10-01,2121.413
2008-11-01,1852.425
2008-12-01,1490.429
2009-01-01,1413.119
2009-02-01,1330.2
2009-03-01,1335.841
2009-04-01,1420.85
2009-05-01,1460.447
2009-06-01,1573.727
2009-07-01,1667.957
2009-08-01,1933.75
2009-09-01,1834.114
2009-10-01,1878.568
2009-11-01,1949.286
2009-12-01,2180.095
2010-01-01,2235.15
2010-02-01,2048.925
2010-03-01,2205.63
2010-04-01,2316.725
2010-05-01,2040.526
2010-06-01,1931.386
2010-07-01,1988.273
2010-08-01,2118.143
2010-09-01,2162.341
2010-10-01,2346.57
2010-11-01,2333.068
2010-12-01,2350.667
2011-01-01,2439.525
2011-02-01,2508.175
2011-03-01,2555.5
2011-04-01,2678.11
2011-05-01,2596.45
2011-06-01,2557.76
2011-07-01,2525.43
2011-08-01,2379.35
2011-09-01,2293.46
2011-10-01,2180.65
2011-11-01,2079.98
2011-12-01,2022.25
2012-01-01,2144.2
2012-02-01,2207.92
2012-03-01,2184.16
2012-04-01,2049.67
2012-05-01,2007.63095238095
2012-06-01,1890.17857142857
2012-07-01,1876.25
2012-08-01,1845.37608695652
2012-09-01,2064.12
2012-10-01,1974.3
2012-11-01,1948.82954545455
2012-12-01,2086.76315789474
2013-01-01,2037.75
2013-02-01,2053.595
2013-03-01,1909.56666666667
2013-04-01,1861.67045454545
2013-05-01,1832.02173913043
2013-06-01,1814.5375
2013-07-01,1769.60869565217
2013-08-01,1817.61590909091
2013-09-01,1761.30476190476
2013-10-01,1814.58260869565
2013-11-01,1747.96428571429
2013-12-01,1739.81
2014-01-01,1727.41
2014-02-01,1695.17
2014-03-01,1705.37
2014-04-01,1810.67
2014-05-01,1751.05
2014-06-01,1838.95
2014-07-01,1948.3
2014-08-01,2030.49
2014-09-01,1990.43
2014-10-01,1946.19
2014-11-01,2055.55
2014-12-01,1909.46
2015-01-01,1814.72
2015-02-01,1817.82
2015-03-01,1773.86
2015-04-01,1819.19
2015-05-01,1804.04
2015-06-01,1687.73
2015-07-01,1639.5
2015-08-01,1548.13
2015-09-01,1589.6
2015-10-01,1516.49
2015-11-01,1467.89
2015-12-01,1497.2
2016-01-01,1481.1
2016-02-01,1531.26
2016-03-01,1531.01
2016-04-01,1571.23
2016-05-01,1550.63
2016-06-01,1593.51
2016-07-01,1629.05
2016-08-01,1639.28
2016-09-01,1592.36
2016-10-01,1665.9
2016-11-01,1737.11
2016-12-01,1727.74
2017-01-01,1791.24
2017-02-01,1860.75
2017-03-01,1901.47
2017-04-01,1921.22
2017-05-01,1913.02
2017-06-01,1885.29
2017-07-01,1902.96
2017-08-01,2030.01
2017-09-01,2096.49
2017-10-01,2131.49
2017-11-01,2097.44
2017-12-01,2080.47
2018-01-01,2209.73
2018-02-01,2181.79
2018-03-01,2069.24
2018-04-01,2254.69
2018-05-01,2299.67
2018-06-01,2237.62
2018-07-01,2082.24
2018-08-01,2051.51
2018-09-01,2026.46
2018-10-01,2029.86
2018-11-01,1938.51
2018-12-01,1920.38
2019-01-01,1853.72
2019-02-01,1862.99
2019-03-01,1871.21
2019-04-01,1845.42
2019-05-01,1781.26
2019-06-01,1755.95
2019-07-01,1796.99
2019-08-01,1740.68
2019-09-01,1753.51
2019-10-01,1725.96
2019-11-01,1774.79
2019-12-01,1771.38
2020-01-01,1773.09
2020-02-01,1688.1
2020-03-01,1610.89
2020-04-01,1459.93
2020-05-01,1466.37
2020-06-01,1568.57
2020-07-01,1643.81
2020-08-01,1737.26
2020-09-01,1743.77
2020-10-01,1806.1
2020-11-01,1935.28
2020-12-01,2014.67
2021-01-01,2003.98
2021-02-01,2078.59
2021-03-01,2190.48
2021-04-01,2319.39
2021-05-01,2433.53
2021-06-01,2446.65
2021-07-01,2497.64
2021-08-01,2602.99
2021-09-01,2834.56
2021-10-01,2934.39
2021-11-01,2636.45
2021-12-01,2695.53
2022-01-01,3005.98
2022-02-01,3245.79
2022-03-01,3498.37
2022-04-01,3244.41
2022-05-01,2830.32
2022-06-01,2563.44
2022-07-01,2408.42
2022-08-01,2430.79
2022-09-01,2224.76
2022-10-01,2255.54
2022-11-01,2350.72
2022-12-01,2401.69
2023-01-01,2501.82
2023-02-01,2416.18
2023-03-01,2296.42
2023-04-01,2343.23
2023-05-01,2268.6
2023-06-01,2184.75
2023-07-01,2159.73
2023-08-01,2136.57
2023-09-01,2184.67
2023-10-01,2192.21
2023-11-01,2202.26
2023-12-01,2182.43
2024-01-01,2192.82
2024-02-01,2179.46
2024-03-01,2226.16
2024-04-01,2506.1
2024-05-01,2564.54
2024-06-01,2497.61
2024-07-01,2349.13
2024-08-01,2343.67
2024-09-01,2449.92
2024-10-01,2595.58
2024-11-01,2582.19
2024-12-01,2541.02
2025-01-01,2573.4
2025-02-01,2657.6
2025-03-01,2658.29
2025-04-01,2371.6
2025-05-01,2448.79
2025-06-01,2525.96
2025-07-01,2606.37
2025-08-01,2597.34
2025-09-01,2653.32
2025-10-01,2793.09
2025-11-01,2819.06
2025-12-01,2875.53
